source,run,method_or_aggregation,macro_auroc,macro_ap,best_micro_f1,best_macro_f1_present,path
origin/results/retfound-optimized,centralized_s0,centralized,0.8138529595005327,0.2866425736569786,0.6263879817112998,0.24396612169069462,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/centralized_s0.json
origin/results/retfound-optimized,local_only_s0,local_only,,,0.5421831710538003,0.16562830806096385,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/local_only_s0.json
origin/results/retfound-optimized,fedavg_s0,fedavg,0.8015700755989219,0.26785098192248313,0.6646130150173277,0.2391338656116866,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/fedavg_s0.json
origin/results/retfound-optimized,fedprox_s0,fedprox,0.7683366794593663,0.2034014474365821,0.6242818843355037,0.17301609706040783,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/fedprox_s0.json
origin/results/retfound-optimized,robust_fedprox_s0,robust_fedprox,0.7684685994488747,0.19315946241548487,0.6290877796901894,0.16956546012144955,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/robust_fedprox_s0.json
origin/results/retfound-optimized,centralized_s1,centralized,0.8158955187686436,0.27642807579479517,0.6633522727272727,0.24577349095346612,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/centralized_s1.json
origin/results/retfound-optimized,local_only_s1,local_only,,,0.5913991275128345,0.16446298046605834,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/local_only_s1.json
origin/results/retfound-optimized,fedavg_s1,fedavg,0.7846671150079465,0.2753975330029293,0.6548808608762491,0.22400780518045535,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/fedavg_s1.json
origin/results/retfound-optimized,fedprox_s1,fedprox,0.7580638626139695,0.19582058338304548,0.6144674085850557,0.1677481244264179,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/fedprox_s1.json
origin/results/retfound-optimized,robust_fedprox_s1,robust_fedprox,0.7484273055315824,0.19457153413032147,0.6242038216560509,0.1714420115560769,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/robust_fedprox_s1.json
origin/results/retfound-optimized,centralized_s2,centralized,0.809204333622767,0.2853917668276572,0.668149796069707,0.24197772651855046,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/centralized_s2.json
origin/results/retfound-optimized,local_only_s2,local_only,,,0.5675941737102281,0.15686428597551166,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/local_only_s2.json
origin/results/retfound-optimized,fedavg_s2,fedavg,0.8339232548055275,0.2972378031187928,0.6832678025338575,0.25623884299408783,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/fedavg_s2.json
origin/results/retfound-optimized,fedprox_s2,fedprox,0.7690926228110248,0.1993075884145891,0.6141669964384646,0.18131103030243023,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/fedprox_s2.json
origin/results/retfound-optimized,robust_fedprox_s2,robust_fedprox,0.7652117125205328,0.19758975433541567,0.6095917558462148,0.17587916958480881,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/robust_fedprox_s2.json
origin/results/retfound-optimized,ablate_fedavg_noise02,fedavg,0.7906485185430822,0.26140146512998397,0.5472779369627507,0.2323570085571271,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_fedavg_noise02.json
origin/results/retfound-optimized,ablate_fedavg_noise04,fedavg,0.7753817834445509,0.23244550129359923,0.5950248756218905,0.20387610559404182,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_fedavg_noise04.json
origin/results/retfound-optimized,ablate_robust_noise02,robust_fedprox,0.755033381218143,0.17542234264036585,0.5447500968616815,0.16296821247274468,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_robust_noise02.json
origin/results/retfound-optimized,ablate_robust_noise04,robust_fedprox,0.7464388093741803,0.17544030193156185,0.5265210608424337,0.15520671216037188,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_robust_noise04.json
origin/results/retfound-optimized,ablate_fedavg_dir_a0p1,fedavg,0.8082457140636631,0.2608529645385422,0.6773688332028192,0.2353921155059072,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_fedavg_dir_a0p1.json
origin/results/retfound-optimized,ablate_fedprox_dir_a0p1,fedprox,0.7678561913073725,0.20602046259132062,0.5309278350515464,0.17455941732079638,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_fedprox_dir_a0p1.json
origin/results/retfound-optimized,ablate_robust_dir_a0p1,robust_fedprox,0.7697836861510426,0.20419249957030622,0.48723559445660103,0.1751462565674015,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_robust_dir_a0p1.json
origin/results/retfound-optimized,ablate_fedavg_dir_a0p5,fedavg,0.812194035137775,0.2815839932597394,0.7080383173677635,0.24807573392030827,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_fedavg_dir_a0p5.json
origin/results/retfound-optimized,ablate_fedprox_dir_a0p5,fedprox,0.77786057806587,0.20944176158422917,0.566677326511033,0.179134853212522,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_fedprox_dir_a0p5.json
origin/results/retfound-optimized,ablate_robust_dir_a0p5,robust_fedprox,0.7791564961238857,0.20382936517504158,0.5742315238718116,0.17491589707138147,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_robust_dir_a0p5.json
origin/results/retfound-optimized,ablate_robust_rank4,robust_fedprox,0.759396009628579,0.1982260737231489,0.5950019833399445,0.18121509193250282,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_robust_rank4.json
origin/results/retfound-optimized,ablate_robust_rank16,robust_fedprox,0.7588840908288156,0.19065165083103947,0.581446311176041,0.16879427882639483,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_robust_rank16.json
origin/results/retfound-optimized,ablate_fedprox_mu0p01,fedprox,0.8087473899938754,0.24771452602387228,0.6647326978864484,0.2207575005004323,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_fedprox_mu0p01.json
origin/results/retfound-optimized,ablate_fedprox_mu0p1,fedprox,0.7458377987519682,0.18420236104700033,0.5971119133574008,0.16760614401338697,results_archive/retfound_optimized/runs/paper_matrix/retfound_full_optimized_resume/ablate_fedprox_mu0p1.json
origin/feat/agent-orchestration,clean_agent_s0,agent,0.8264744667280821,0.29054721780140047,0.693567718737515,0.27067920554470015,runs/paper_matrix/agent/clean_agent_s0.json
origin/feat/agent-orchestration,clean_fedavg_s0,size,0.8249479088384648,0.2796403644086115,0.6598763186613313,0.25392789353886475,runs/paper_matrix/agent/clean_fedavg_s0.json
origin/feat/agent-orchestration,het02_agent_s0,agent,0.7812136986942531,0.2663042046792261,0.6589810338415768,0.2384586353958998,runs/paper_matrix/agent/het02_agent_s0.json
origin/feat/agent-orchestration,het02_fedavg_s0,size,0.7210696941982812,0.24261623017201195,0.3035475234270415,0.15490287893627674,runs/paper_matrix/agent/het02_fedavg_s0.json
origin/feat/agent-orchestration,het02_robust_s0,size,0.73020447220112,0.19144954447054446,0.5955940204563336,0.15566148030610946,runs/paper_matrix/agent/het02_robust_s0.json
origin/feat/agent-orchestration,het04_agent_s0,agent,0.7907738471449903,0.27053173741723624,0.7006830052229811,0.23673786192983595,runs/paper_matrix/agent_stage1/het04_agent_s0.json
origin/feat/agent-orchestration,het04_agent_s1,agent,0.8102057656520006,0.28310563024394253,0.675164156044805,0.25321498975584794,runs/paper_matrix/agent_stage1/het04_agent_s1.json
origin/feat/agent-orchestration,het04_agent_s2,agent,0.8120244705917075,0.27153650319874384,0.6868512110726643,0.24779294763899304,runs/paper_matrix/agent_stage1/het04_agent_s2.json
origin/feat/agent-orchestration,het04_dir_agent_s0,agent,0.5329682790555501,0.06398422137370496,0.0,0.0,runs/paper_matrix/agent_stage1/het04_dir_agent_s0.json
origin/feat/agent-orchestration,het04_dir_fedavg_s0,size,0.5876425220054639,0.0764969832043858,0.07839866555462886,0.07532128473014957,runs/paper_matrix/agent_stage1/het04_dir_fedavg_s0.json
origin/feat/agent-orchestration,het04_fedavg_s0,size,0.7374030006713008,0.25020499177956584,0.14692529921584813,0.16677098932378426,runs/paper_matrix/agent_stage1/het04_fedavg_s0.json
origin/feat/agent-orchestration,het04_fedavg_s1,size,0.7376699869658251,0.22386018351407824,0.3685823754789272,0.16586089441000657,runs/paper_matrix/agent_stage1/het04_fedavg_s1.json
origin/feat/agent-orchestration,het04_fedavg_s2,size,0.7389012582339941,0.24905483228383857,0.26079521162890124,0.14115891406977657,runs/paper_matrix/agent_stage1/het04_fedavg_s2.json
origin/feat/agent-orchestration,het04_robust_s0,size,0.6668525498002645,0.16258691042868217,0.07418777180864672,0.08129758915302229,runs/paper_matrix/agent_stage1/het04_robust_s0.json
origin/feat/agent-orchestration,het04_robust_s1,size,0.6761687196960625,0.17135373280988764,0.0560895743107637,0.0887742643655682,runs/paper_matrix/agent_stage1/het04_robust_s1.json
origin/feat/agent-orchestration,het04_robust_s2,size,0.6637292364135062,0.16634597708294266,0.08406511030199186,0.10416302467925635,runs/paper_matrix/agent_stage1/het04_robust_s2.json
